240849_at,1554154_at,230291_s_at,238023_at,233443_at,224370_s_at,1560303_at,1567237_at,226573_at,244070_at,206827_s_at,1569362_at,242180_at,1561928_s_at,1555962_at,209811_at,201489_at,227196_at,237707_at,1553235_at,212848_s_at,231541_s_at,207084_at,1564876_s_at,212864_at,236195_x_at,215507_x_at,228757_at,220778_x_at,1553640_at,225013_at,235825_at,1561631_at,235765_at,233871_at,1556228_a_at,230978_at,201056_at,244160_at,234110_at,213222_at,1555888_at,1555687_a_at,203080_s_at,219292_at,209001_s_at,241771_at,222020_s_at,Class
45.8883,43.8598,6.31585,17.1497,38.3407,5.82606,8.54375,11.9131,35.9994,15.4916,58.6042,11.0307,34.0245,32.0351,43.8478,60.6876,1070.46,8.4441,10.3498,28.7832,40.2985,26.1196,14.2362,30.3388,327.806,61.4433,39.8967,50.7086,67.7202,16.1677,13.879,22.2105,6.31359,24.7575,10.6011,206.239,14.3973,89.1891,34.0183,6.44,130.191,375.989,22.3304,767.478,195.769,1443.26,18.796,14.6335,Control
53.2713,35.6988,7.0991,16.3481,39.5247,5.18686,8.77895,15.8313,64.1782,18.6225,59.4602,7.94467,35.1899,29.92,40.5796,85.6709,984.041,8.92702,12.3799,28.0983,53.4772,28.7538,18.6084,38.3137,455.603,69.0979,39.8625,58.3699,93.9708,17.9077,20.7543,22.1703,6.69699,22.3746,11.5257,201.832,19.9072,101.05,42.9644,5.57313,102.178,406.913,16.2352,698.026,152.87,1571.12,18.7552,15.1915,Control
43.0786,45.7968,6.85099,14.3312,38.7301,5.82741,8.38717,12.4053,36.1129,14.8465,54.1322,9.42634,24.2741,33.6949,44.1168,58.3261,1133.92,11.0749,10.814,31.931,59.5676,31.6427,13.8343,34.4347,522.885,59.4036,36.264,51.4964,65.8254,14.7428,16.2361,21.3567,5.47587,18.2401,12.3095,308.971,14.0004,121.152,33.0649,6.43385,113.886,460.388,21.1287,785.144,224.182,1328.57,15.8001,14.5545,Control
44.6337,43.8876,5.59253,17.0915,40.8629,4.62606,8.64598,15.3525,46.1023,17.7108,45.0293,7.36374,28.0351,32.1329,57.6338,77.608,1022.78,10.0315,13.3059,23.595,56.0314,33.1594,14.1922,36.6733,350.258,64.5074,51.818,55.5784,71.6362,17.6704,19.6708,18.131,6.09319,22.2468,10.5645,191.924,12.9061,112.693,41.4946,6.41441,166.688,455.152,17.3335,763.054,138.272,1596.48,18.4073,14.4511,Control
52.6135,40.0696,5.67679,14.1368,50.2436,6.8655,8.08499,12.4624,47.4927,17.0416,64.0308,8.9576,43.1231,27.0963,39.562,60.9863,1420.08,9.79673,12.2512,29.4885,44.7819,30.5116,15.0113,27.9886,545.114,75.132,41.8592,55.6979,83.0429,15.8452,15.3463,20.3375,6.46466,26.253,14.4436,304.412,16.3633,94.087,44.1724,6.20793,140.454,186.552,15.3335,333.869,128.408,1200.39,16.5973,15.8414,Control
36.7974,37.0548,6.04651,11.6445,38.9181,4.60475,8.33381,12.7756,41.1166,16.0998,39.8077,9.01212,24.6295,30.1128,54.1784,57.9683,1102.31,9.62455,11.2738,22.4688,49.319,36.6825,16.0121,31.6178,435.49,72.3124,50.1508,47.8529,69.8376,12.6497,15.823,21.0407,6.20582,20.0073,10.6131,205.914,18.6029,137.702,26.4268,6.31121,98.4574,366.034,33.6078,584.157,162.071,1368.79,20.3699,14.9169,Control
51.3612,21.3018,5.87248,14.4022,49.0187,5.13075,8.04329,12.5405,58.5055,14.1085,55.9681,8.20642,35.5038,25.1854,34.3805,39.397,1319.7,8.88617,11.1337,30.3803,36.5571,38.9727,18.0965,33.2041,548.907,68.0783,59.5097,50.5562,90.9752,14.9119,23.717,22.1056,6.38769,23.6369,13.097,168.168,14.6782,123.403,40.2373,6.16878,56.61,341.782,16.3956,590.693,112.823,1161.24,16.188,13.9511,Control
44.2479,31.9348,5.91232,14.834,39.6824,6.10551,8.28787,12.9695,49.2885,19.7521,55.6709,8.52377,30.9487,26.702,49.5018,51.0377,997.698,9.37673,11.3587,22.5812,37.3202,33.067,12.0655,46.1369,477.878,68.0152,61.421,67.8903,73.345,20.2627,22.7963,26.7704,7.11942,25.5947,10.8838,189.169,17.4208,144.673,33.1869,5.96324,105.211,355.993,12.8582,380.899,120.529,1229.71,18.244,12.4451,Control
64.9668,27.7646,6.11257,15.2378,45.5079,5.63319,8.377,9.42575,44.9276,12.2467,55.7619,8.53454,30.9631,28.6944,88.6673,58.1937,1135.84,8.28645,10.162,27.27,51.1593,34.942,16.5131,31.9056,367.711,65.1226,49.2515,52.6709,75.2489,18.5949,17.9634,21.9856,6.09073,24.4198,12.2155,107.846,17.7141,98.0898,30.4656,6.14618,42.6567,311.695,20.2923,405.121,84.6422,786.171,16.5655,15.2017,Control
41.1524,29.7138,5.70285,12.399,35.7928,5.38827,8.54249,12.646,58.6674,13.3009,54.3612,7.54886,26.2575,26.9591,41.4227,58.2074,1085.49,9.6241,9.55586,25.4175,54.4427,35.5676,14.8099,29.7882,446.466,58.5969,46.5943,50.3706,71.3862,16.6659,16.2184,16.9442,6.19277,18.4259,12.7568,190.221,15.2224,109.226,35.5511,6.30856,82.7188,369.806,21.9783,756.843,164.951,1171.21,15.1113,13.3921,Control
45.7,26.1475,7.23621,17.4583,40.9685,5.23421,8.69347,12.6422,55.1448,17.0045,61.7835,7.60194,33.6347,26.606,60.2698,111.442,710.769,10.0399,9.62672,27.3169,59.7727,27.3592,14.9159,39.7112,430.33,53.8755,40.4393,54.0038,87.9114,14.2723,20.5718,17.2398,6.34258,21.2712,9.44995,174.939,18.7386,109.707,41.4921,6.62373,89.0571,257.232,22.7861,557.373,189.959,1299.71,15.1174,12.9618,Control
55.1744,24.2509,5.76673,16.9536,39.5589,5.79203,10.5153,14.8751,39.8943,19.4402,46.3518,7.89574,32.8243,24.9499,60.6712,64.3107,1364.06,10.0728,13.7067,27.8265,60.8018,33.7944,18.005,39.0687,527.574,66.021,53.3842,62.7739,82.1362,17.74,18.226,24.8331,7.42716,20.8355,11.7989,234.85,25.0602,111.363,37.228,6.94298,88.6106,342.309,13.2345,538.901,129.434,1252.11,20.5176,17.8932,Control
61.723,41.3502,7.22843,14.2889,52.0444,5.25888,7.79943,13.6765,51.8812,15.0482,53.5568,10.1966,33.3708,27.3273,33.9322,45.1545,1514.25,9.05702,9.73341,31.7889,43.6849,34.7851,20.7724,42.5123,802.327,78.5946,53.8279,56.7785,109.864,15.7973,24.9356,21.1933,8.09456,26.2496,12.776,226.897,21.375,89.6351,39.492,7.10449,91.888,335.349,20.2593,652.709,132.677,1420.1,18.1544,20.2267,Control
51.4947,39.0749,5.81887,15.6781,38.0992,5.48277,8.18341,11.0842,36.7957,12.9232,50.7972,10.1886,26.6361,33.0052,40.0209,69.9561,891.686,7.4824,9.1132,27.2226,51.2087,32.853,14.938,36.2519,606.598,48.0056,45.6576,48.5401,64.3071,14.7943,20.9231,18.1082,5.42691,22.5579,12.4186,342.947,15.8883,97.0723,31.7644,6.41643,95.0411,277.367,18.4465,628.415,144.067,1539.81,16.5331,15.1287,Control
56.1071,33.9432,6.54095,15.7709,46.8377,6.63734,8.64673,13.8314,59.0905,17.1909,62.5444,6.76155,25.531,30.7501,36.8761,61.4789,998.59,9.63003,11.1401,18.4393,46.0288,31.3755,17.2745,32.7377,644.164,78.6703,44.5415,52.4114,80.6937,15.4979,11.9645,19.3437,6.51117,22.5862,15.5317,215.673,16.3423,91.065,42.4691,6.45183,101.99,220.58,14.5603,444.255,153.532,1282.2,18.5673,17.6,Control
45.8808,31.6526,6.17255,12.9117,43.6342,4.95902,8.77224,12.457,47.7172,17.4516,49.248,7.51841,26.3017,32.1727,48.9279,95.8555,1034.91,9.42891,9.78019,23.7611,53.7307,27.6195,13.9599,36.3924,425.854,55.2855,42.7723,49.6608,73.8125,16.3275,17.4997,17.0348,6.49484,25.7964,11.2143,215.19,22.3244,102.261,36.1387,5.80969,93.393,210.729,16.0381,545.865,167.273,1169.37,16.2062,17.0181,Control
46.5105,32.1662,7.48605,18.4293,43.7115,5.69464,8.7569,20.4967,56.1948,15.0854,62.3199,9.22033,44.2536,30.3322,56.4279,45.4107,680.801,9.77028,11.4728,33.7155,60.5179,34.4798,14.0131,46.1955,559.074,70.1011,51.5802,59.6516,111.165,17.3258,20.1425,18.3202,7.80123,26.3877,14.684,256.508,20.621,97.0045,46.4368,7.06769,82.153,241.274,17.6179,475.002,113.86,1278.14,20.8145,16.1688,Control
51.3655,28.2594,7.34208,15.6096,44.3384,6.31434,7.64821,14.2024,64.3286,13.8123,53.9625,6.85737,39.8021,30.242,42.9878,53.4887,686.995,9.26424,11.0362,24.2344,57.5348,34.3823,17.2635,36.4096,306.918,65.641,46.8837,65.1584,91.2048,15.1313,17.2591,17.3366,6.65072,24.5576,10.491,157.309,15.584,127.369,34.6874,6.85737,91.9986,448.165,15.5138,616.875,148.661,1157.66,16.8697,15.5713,Control
40.2573,33.8926,5.77591,16.2492,35.9911,5.74986,8.17454,15.8233,60.5637,12.2586,50.9947,7.96235,28.7625,40.3585,41.6048,55.8135,1369.97,8.88538,8.18719,28.3121,41.1608,39.1263,16.8941,45.4068,387.104,63.4745,43.7725,42.5601,65.8339,13.4148,20.192,19.7529,6.6273,19.0705,9.77995,203.856,11.3002,103.04,36.0824,6.39188,106.411,281.41,14.5162,525.129,126.062,1078.4,22.0086,11.9396,Control
48.6401,33.4824,5.48812,11.6158,35.4922,5.3778,8.18311,14.3794,38.2889,15.1431,45.2604,9.96855,28.4895,41.3184,43.9469,72.1518,1110.7,10.924,10.8894,22.8985,50.9986,34.5812,11.9,33.8953,737.877,51.0898,42.8121,55.2807,76.1328,14.4527,19.3565,19.913,5.96719,15.7042,10.9721,286.999,16.7582,140.166,30.1828,5.84775,126.258,466.502,12.7093,887.312,169.953,1488.64,15.466,16.5984,Control
43.2425,31.6703,7.3433,15.5308,44.9531,5.7965,8.18134,13.3584,50.188,13.6437,63.5579,7.39232,27.4241,32.5817,68.1971,51.8119,1135.3,9.99554,13.9573,27.1094,54.4166,35.1673,16.674,33.9386,477.588,64.3363,46.0917,56.1873,69.0866,14.0223,15.8435,21.7018,6.27775,20.419,12.8045,219.683,17.3818,124.064,34.0658,7.02154,82.0517,441.398,17.1972,582.489,146.395,1471.55,15.6343,15.6553,Control
54.8692,33.7379,5.99388,11.8086,43.3856,5.67677,7.42948,11.2541,52.6895,11.8042,62.7925,8.21703,31.8584,30.4766,55.6639,94.189,980.048,9.32646,11.8619,24.5399,56.2259,28.1039,17.5541,35.8805,478.498,50.6269,48.9424,49.31,72.1517,14.2106,20.2274,16.1083,5.67677,26.1591,10.1608,236.303,17.4334,128.378,42.1474,6.68231,131.722,476.817,14.7339,991.173,174.704,1351.13,17.9608,13.7862,Control
31.4933,36.29,6.29997,11.3449,44.7115,6.28828,8.47133,12.2686,32.2128,15.5839,53.3804,8.88734,24.9161,30.3116,30.2577,82.6631,1048.65,11.9978,9.80905,28.5514,35.9361,31.9162,11.8304,27.9865,500.419,55.1869,49.0547,48.0399,62.5556,16.536,18.2705,19.2049,7.21514,23.8728,9.52332,187.46,9.67188,116.362,33.8763,5.55994,126.601,318.594,21.214,857.137,179.164,1257.64,17.6354,12.7866,Control
51.8222,29.1624,6.28594,13.3797,43.3769,5.75259,8.23505,17.2178,73.4114,17.9756,57.5867,7.41957,27.604,32.8945,39.1923,61.6716,835.845,9.21661,14.8664,33.3608,60.3898,34.9284,17.1524,36.3601,319.222,72.3032,57.9844,61.0816,114.374,19.7475,21.7629,18.5019,6.19356,31.2897,11.9687,163.88,25.2203,111.054,49.5039,6.3434,54.8413,359.889,18.1133,848.601,105.054,1377.27,17.8051,19.5728,Control
47.9079,38.9368,5.89152,11.6339,39.0879,6.03416,8.83461,12.9561,52.8636,15.993,60.5503,7.4515,26.171,33.8447,45.1555,71.6995,1272.52,10.8913,9.58431,20.3647,62.66,36.153,17.3214,23.9564,602.912,69.3005,61.9007,63.1269,81.2411,17.4092,17.7209,17.239,6.55402,21.2096,11.2143,217.798,17.1376,126.204,36.0179,6.56247,120.064,283.017,23.7163,603.016,173.445,1384.64,21.5128,20.9258,Control
53.4623,29.8095,6.65882,17.6509,46.4278,5.61658,8.75206,14.0357,63.1839,17.8719,49.9402,8.48698,36.1033,35.8047,46.289,33.8643,1041.34,8.55467,9.48336,27.9006,36.7707,31.1479,21.4934,41.3573,405.978,65.626,56.8763,54.4895,85.4244,18.9596,29.4951,21.1533,6.3593,21.0728,10.0231,138.467,23.632,104.557,30.4141,5.34944,52.9325,225.697,14.572,370.126,118.354,1057.48,15.9903,15.6291,Control
